stock_label,name,close,date,industry_type,open,high,low,unit,per,psr,pbr,volume,market_capitalization,issued_shares,crawl_datetime,code
4422  東証マザーズ,ＶＡＬＵＥＮＥＸ,"1,260.0",株価(02/28),業種情報・通信業,"1,372.0円","1,372.0円","1,260.0円",100株,---,6.49倍,3.85倍,"15,000株","3,620百万円","2,873千株",2020-03-01T18:25:45,4422
4423  東証１部,アルテリア・ネットワークス,"1,779.0",株価(02/28),業種情報・通信業,"1,840.0円","1,895.0円","1,763.0円",100株,19.15倍,1.80倍,4.74倍,"600,000株","88,950百万円","50,000千株",2020-03-01T18:25:47,4423
4424  東証マザーズ,Ａｍａｚｉａ,"9,640.0",株価(02/28),業種情報・通信業,"9,560.0円","10,400.0円","9,440.0円",100株,103.05倍,9.47倍,33.25倍,"280,500株","32,088百万円","3,328千株",2020-03-01T18:25:48,4424
4425  東証マザーズ,Ｋｕｄａｎ,"4,825.0",株価(02/28),業種情報・通信業,"5,030.0円","5,210.0円","4,800.0円",100株,314.33倍,90.97倍,38.34倍,"140,600株","34,205百万円","7,089千株",2020-03-01T18:25:50,4425
4427  東証マザーズ,ＥｄｕＬａｂ,"3,625.0",株価(02/28),業種情報・通信業,"3,630.0円","3,915.0円","3,610.0円",100株,38.83倍,5.11倍,4.72倍,"49,700株","32,081百万円","8,850千株",2020-03-01T18:25:52,4427
4428  東証マザーズ,シノプス,"2,034.0",株価(02/28),業種情報・通信業,"2,071.0円","2,257.0円","2,010.0円",100株,63.24倍,11.34倍,9.37倍,"70,300株","12,265百万円","6,030千株",2020-03-01T18:25:54,4428
4429  東証マザーズ,リックソフト,"5,200.0",株価(02/28),業種情報・通信業,"5,560.0円","5,780.0円","5,200.0円",100株,81.07倍,8.95倍,22.47倍,"82,600株","22,228百万円","4,274千株",2020-03-01T18:25:56,4429
4430  東証１部,東海ソフト,"1,338.0",株価(02/28),業種情報・通信業,"1,334.0円","1,444.0円","1,333.0円",100株,17.92倍,1.03倍,2.33倍,"304,200株","6,516百万円","4,870千株",2020-03-01T18:25:58,4430
4431  東証マザーズ,スマレジ,"3,710.0",株価(02/28),業種情報・通信業,"3,740.0円","3,885.0円","3,650.0円",100株,101.11倍,17.71倍,12.63倍,"302,800株","34,997百万円","9,433千株",2020-03-01T18:26:00,4431
4434  東証マザーズ,サーバーワークス,"11,450.0",株価(02/28),業種情報・通信業,"12,090.0円","12,350.0円","10,710.0円",100株,---,8.64倍,---,"121,900株","38,703百万円","3,380千株",2020-03-01T18:26:02,4434
4435  東証マザーズ,カオナビ,"2,821.0",株価(02/28),業種情報・通信業,"2,980.0円","3,080.0円","2,811.0円",100株,---,18.12倍,22.74倍,"114,900株","30,638百万円","10,861千株",2020-03-01T18:26:04,4435
4436  東証マザーズ,ミンカブ・ジ・インフォノイド,"1,103.0",株価(02/28),業種情報・通信業,"1,154.0円","1,154.0円","1,071.0円",100株,50.04倍,7.04倍,5.33倍,"372,200株","14,320百万円","12,982千株",2020-03-01T18:26:06,4436
4437  東証マザーズ,ｇｏｏｄｄａｙｓホールディングス,"1,229.0",株価(02/28),業種情報・通信業,"1,284.0円","1,310.0円","1,220.0円",100株,16.43倍,0.81倍,2.99倍,"20,000株","4,062百万円","3,305千株",2020-03-01T18:26:08,4437
4438  東証マザーズ,Ｗｅｌｂｙ,"1,300.0",株価(02/28),業種情報・通信業,"1,342.0円","1,441.0円","1,250.0円",100株,---,12.69倍,6.07倍,"64,300株","10,130百万円","7,792千株",2020-03-01T18:26:09,4438
4439  東証マザーズ,東名,"1,002.0",株価(02/28),業種情報・通信業,"1,037.0円","1,102.0円",963.0円,100株,13.09倍,0.66倍,1.85倍,"49,200株","7,214百万円","7,200千株",2020-03-01T18:26:11,4439
4440  東証マザーズ,ヴィッツ,"1,364.0",株価(02/28),業種情報・通信業,"1,400.0円","1,450.0円","1,364.0円",100株,19.55倍,2.40倍,3.28倍,"32,500株","5,529百万円","4,054千株",2020-03-01T18:26:13,4440
