open,high,low,close,volume,date
21591.72,21592.61,21503.78,21580.07,109708544.0,2017-07-21
21641.54,21661.91,21576.96,21611.78,85281760.0,2017-07-20
21569.25,21640.75,21565.84,21640.75,69055776.0,2017-07-19
21589.94,21589.94,21471.14,21574.73,63976184.0,2017-07-18
21633.97,21661.81,21617.66,21629.72,70534032.0,2017-07-17
21532.77,21681.53,21521.72,21637.74,66008224.0,2017-07-14
21537.19,21568.72,21512.36,21553.09,69468632.0,2017-07-13
21467.93,21580.79,21467.93,21532.14,81783272.0,2017-07-12
21410.17,21441.62,21279.3,21409.07,70282976.0,2017-07-11
21381.23,21446.39,21371.11,21408.52,72627776.0,2017-07-10
21354.66,21425.82,21350.72,21414.34,72678784.0,2017-07-07
21423.93,21433.1,21305.38,21320.04,88100928.0,2017-07-06
21492.83,21505.36,21404.76,21478.17,79561424.0,2017-07-05
21392.3,21562.75,21391.71,21479.27,57803632.0,2017-07-03
21348.6,21426.12,21325.08,21349.63,100731784.0,2017-06-30
21487.38,21487.38,21197.08,21287.03,96138744.0,2017-06-29
21372.36,21478.75,21372.36,21454.61,76134408.0,2017-06-28
21411.19,21440.6,21310.66,21310.66,84487632.0,2017-06-27
21434.68,21506.21,21381.25,21409.55,68340344.0,2017-06-26
21380.92,21421.79,21333.89,21394.76,143179792.0,2017-06-23
21407.98,21456.47,21394.81,21397.29,78152248.0,2017-06-22
21466.39,21492.62,21390.0,21410.03,77553288.0,2017-06-21
21521.25,21535.03,21464.24,21467.14,83752008.0,2017-06-20
21444.75,21528.99,21436.08,21528.99,88364704.0,2017-06-19
21335.93,21384.42,21308.01,21384.28,288559840.0,2017-06-16
21291.69,21367.28,21261.87,21359.9,87151632.0,2017-06-15
21342.71,21391.97,21294.09,21374.56,83202464.0,2017-06-14
21256.83,21332.77,21256.83,21328.47,89255192.0,2017-06-13
21259.95,21277.08,21186.15,21235.67,135223008.0,2017-06-12
21208.96,21305.35,21159.45,21271.97,120385848.0,2017-06-09
21169.76,21265.69,21138.16,21182.53,96877968.0,2017-06-08
21171.57,21189.84,21113.31,21173.69,80769608.0,2017-06-07
21145.48,21180.47,21118.46,21136.23,79186592.0,2017-06-06
21195.03,21224.41,21168.69,21184.04,65856332.0,2017-06-05
21142.09,21225.04,21129.56,21206.29,96353776.0,2017-06-02
21030.55,21144.18,20994.22,21144.18,76950608.0,2017-06-01
21048.46,21051.7,20942.57,21008.65,135215376.0,2017-05-31
21045.49,21063.62,21009.6,21029.47,65408856.0,2017-05-30
21070.15,21092.82,21050.49,21080.28,56526068.0,2017-05-26
21062.96,21112.32,21051.41,21082.95,67988328.0,2017-05-25
20949.21,21022.82,20933.58,21012.42,73849528.0,2017-05-24
20908.67,20961.14,20896.22,20937.91,65564112.0,2017-05-23
20867.77,20914.26,20860.16,20894.83,78184464.0,2017-05-22
20698.28,20857.13,20687.94,20804.84,127292944.0,2017-05-19
20579.65,20759.2,20553.45,20663.02,109612120.0,2017-05-18
20846.17,20846.17,20601.08,20606.93,113641960.0,2017-05-17
